ref,marker_types,draft_translation,comparison_notes,greek_absent_in_ethiopic,ethiopic_absent_in_greek,restored_text,interpolations,supplied_text,emended_text,corrupt_text,next_review
1 Enoch 84:3,interpolations; emended_text,"For Thou hast made and Thou rulest all things, And nothing is too hard for Thee, Wisdom departs not from the place of Thy throne, Nor turns away from Thy presence. And Thou knowest and seest and hearest everything, And there is nothing hidden from Thee for Thou seest everything.",Charles marks interpolation: for Thou seest everything; Charles emended text: from the place of Thy throne; Nor turns away,,,,for Thou seest everything,,from the place of Thy throne; Nor turns away,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 85:2,supplied_text,"And Enoch lifted up (his voice) and spake to his son Methuselah: ‘To thee, my son, will I speak: hear my words—incline thine ear to the dream-vision of thy father.",Charles supplied text: his voice,,,,,his voice,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 85:3,supplied_text,"Before I took thy mother Edna, I saw in a vision on my bed, and behold a bull came forth from the earth, and that bull was white; and after it came forth a heifer, and along with this (latter) came forth two bulls, one of them black and the other red.",Charles supplied text: latter,,,,,latter,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 85:10,supplied_text,"And they began to beget many white bulls, which resembled them, one following the other, (even) many.",Charles supplied text: even,,,,,even,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 86:3,interpolations,"And again I saw in the vision, and looked towards the heaven, and behold I saw many stars descend and cast themselves down from heaven to that first star, and they became bulls amongst those cattle and pastured with them amongst them.",Charles marks interpolation: amongst them,,,,amongst them,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 88:3,supplied_text,"And as I was beholding in the vision, lo, one of the four who had come forth stoned (them) from heaven, and gathered and took all the great stars whose privy members were like those of horses, and bound them all hand and foot, and cast them in an abyss of the earth.",Charles supplied text: them,,,,,them,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 89:6,supplied_text,"But that vessel floated on the water, while all the oxen and elephants and camels and asses sank to the bottom with all the animals, so that I could no longer see them, and they were not able to escape, (but) perished and sank into the depths.",Charles supplied text: but,,,,,but,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 89:25,interpolations,"And as those wolves did not yet see the sheep, they proceeded into the midst of that sea, and the wolves followed the sheep, and those wolves ran after them into that sea.",Charles marks interpolation: those wolves,,,,those wolves,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 89:31,interpolations,"And they all feared and trembled because of Him, and they cried to that sheep with them which was amongst them: “We are not able to stand before our Lord or to behold Him.”",Charles marks interpolation: which was amongst them,,,,which was amongst them,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 89:39,supplied_text; emended_text,"And I saw till they left off crying for that sheep and crossed that stream of water, and there arose the two sheep as leaders in the place of those which had led them and fallen asleep (lit. “had fallen asleep and led them”).",Charles supplied text: lit. “had fallen asleep and led them”; Charles emended text: two,,,,,lit. “had fallen asleep and led them”,two,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 89:42,interpolations,"And the dogs and the foxes and the wild boars began to devour those sheep till the Lord of the sheep raised up another sheep a ram from their midst, which led them.",Charles marks interpolation: another sheep,,,,another sheep,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 89:43,corrupt_text,"And that ram began to butt on either side those dogs, foxes, and wild boars till he had destroyed them all.",Charles marks corrupt text: all,,,,,,,all,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 89:44,emended_text; corrupt_text,"And that sheep whose eyes were opened saw that ram, which was amongst the sheep, till it forsook its glory and began to butt those sheep, and trampled upon them, and behaved itself unseemly.",Charles emended text: till; Charles marks corrupt text: forsook its glory,,,,,,till,forsook its glory,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 89:45,emended_text; corrupt_text,And the Lord of the sheep sent the lamb to another lamb and raised it to being a ram and leader of the sheep instead of that ram which had forsaken its glory.,Charles emended text: lamb; lamb; Charles marks corrupt text: forsaken its glory,,,,,,lamb; lamb,forsaken its glory,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 89:48,interpolations,And that second ram arose and led the little sheep.,Charles marks interpolation: little,,,,little,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 89:50,restored_text,"And that house became great and broad, and it was built for those sheep: and a tower lofty and great was built on the house for the Lord of the sheep, and that house was low, but the tower was elevated and lofty, and the Lord of the sheep stood on that tower and they offered a full table before Him.",Charles restored text: and,,,and,,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 89:62,supplied_text,"And every excess and the destruction which will be wrought through the shepherds, record (namely) how many they destroy according to my command, and how many according to their own caprice: record against every individual shepherd all the destruction he effects.",Charles supplied text: namely,,,,,namely,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 89:63,emended_text,"And read out before me by number how many they destroy, and how many they deliver over for destruction, that I may have this as a testimony against them, and know every deed of the shepherds, that I may comprehend and see what they do, whether or not they abide by my command which I have commanded them.",Charles emended text: comprehend,,,,,,comprehend,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 89:70,supplied_text,"And thus in the vision I saw that one who wrote how he wrote down every one that was destroyed by those shepherds, day by day, and carried up and laid down and showed actually the whole book to the Lord of the sheep—(even) everything that they had done, and all that each one of them had made away with, and all that they had given over to destruction.",Charles supplied text: even,,,,,even,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 89:74,supplied_text,"And as touching all this the eyes of those sheep were blinded so that they saw not, and (the eyes of) their shepherds likewise; and they delivered them in large numbers to their shepherds for destruction, and they trampled the sheep with their feet and devoured them.",Charles supplied text: the eyes of,,,,,the eyes of,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 89:75,supplied_text,"And the Lord of the sheep remained unmoved till all the sheep were dispersed over the field and mingled with them (i. e. the beasts), and they (i. e. the shepherds) did not save them out of the hand of the beasts.",Charles supplied text: _i. e._ the beasts; _i. e._ the shepherds,,,,,_i. e._ the beasts; _i. e._ the shepherds,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 90:1,supplied_text; emended_text,"And I saw till that in this manner thirty-five shepherds undertook the pasturing (of the sheep), and they severally completed their periods as did the first; and others received them into their hands to pasture them for their period, each shepherd in his own period.",Charles supplied text: of the sheep; Charles emended text: thirty-five,,,,,of the sheep,thirty-five,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 90:10,interpolations; corrupt_text,"And it looked at them and their eyes opened, and it cried to the sheep, and the rams saw it and all ran to it.",Charles marks interpolation: and their eyes opened; Charles marks corrupt text: looked at,,,,and their eyes opened,,,looked at,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 90:13,corrupt_text,"And I saw till the shepherds and eagles and those vultures and kites came, and they cried to the ravens that they should break the horn of that ram, and they battled and fought with it, and it battled with them and cried that its help might come.",Charles marks corrupt text: shepherds and; they cried to the ravens,,,,,,,shepherds and; they cried to the ravens,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 90:14,interpolations,"And I saw till that man, who wrote down the names of the shepherds and carried up into the presence of the Lord of the sheep came and helped it and showed it everything: he had come down for the help of that ram.",Charles marks interpolation: and; came and helped it and showed it everything: he had come down for the help of that ram,,,,and; came and helped it and showed it everything: he had come down for the help of that ram,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 90:15,corrupt_text,"And I saw till the Lord of the sheep came unto them in wrath, and all who saw Him fled, and they all fell into His shadow from before His face.",Charles marks corrupt text: into His shadow,,,,,,,into His shadow,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 90:20,emended_text,"And I saw till a throne was erected in the pleasant land, and the Lord of the sheep sat Himself thereon, and the other took the sealed books and opened those books before the Lord of the sheep.",Charles emended text: the other,,,,,,the other,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 90:21,emended_text,"And the Lord called those men the seven first white ones, and commanded that they should bring before Him, beginning with the first star which led the way, all the stars whose privy members were like those of horses, and they brought them all before Him.",Charles emended text: all the,,,,,,all the,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 90:27,corrupt_text,And I saw those sheep burning and their bones burning.,Charles marks corrupt text: and their bones burning,,,,,,,and their bones burning,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 90:30,emended_text,"And I saw all the sheep which had been left, and all the beasts on the earth, and all the birds of the heaven, falling down and doing homage to those sheep and making petition to and obeying them in every thing.",Charles emended text: thing,,,,,,thing,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 90:31,interpolations; corrupt_text,"And thereafter those three who were clothed in white and had seized me by my hand who had taken me up before, and the hand of that ram also seizing hold of me, they took me up and set me down in the midst of those sheep before the judgement took place.",Charles marks interpolation: who had taken me up before; Charles marks corrupt text: before the judgement took place,,,,who had taken me up before,,,before the judgement took place,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 90:38,emended_text,"And I saw till all their generations were transformed, and they all became white bulls; and the first among them became a lamb, and that lamb became a great animal and had great black horns on its head; and the Lord of the sheep rejoiced over it and over all the oxen.",Charles emended text: lamb; lamb; it,,,,,,lamb; lamb; it,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 90:42,supplied_text,"On that night I remembered the first dream, and because of it I wept and was troubled—because I had seen that vision.’ THE CONCLUDING SECTION OF THE BOOK. (XCII-CV.)",Charles supplied text: XCII-CV.,,,,,XCII-CV.,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 92:1,interpolations; supplied_text,"The book written by Enoch—Enoch indeed wrote this complete doctrine of wisdom, (which is) praised of all men and a judge of all the earth for all my children who shall dwell on the earth; and for the future generations who shall observe uprightness and peace.","Charles marks interpolation: Enoch indeed wrote this complete doctrine of wisdom, (which is) praised of all men and a judge of all the earth; Charles supplied text: which is",,,,"Enoch indeed wrote this complete doctrine of wisdom, (which is) praised of all men and a judge of all the earth",which is,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 92:3,interpolations,"And the righteous one shall arise from sleep, Shall arise and walk in the paths of righteousness, And all his path and conversation shall be in eternal goodness and grace.",Charles marks interpolation: Shall arise,,,,Shall arise,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 92:4,supplied_text,"He will be gracious to the righteous and give him eternal uprightness, And He will give him power so that he shall be (endowed) with goodness and righteousness, And he shall walk in eternal light.",Charles supplied text: endowed,,,,,endowed,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 91:5,emended_text,"For I know that violence must increase on the earth, And a great chastisement be executed on the earth, And all unrighteousness come to an end: Yea, it shall be cut off from its roots, And its whole structure be destroyed.",Charles emended text: must,,,,,,must,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 91:9,supplied_text,"And all the idols of the heathen shall be abandoned, And the temples burned with fire, And they shall remove them from the whole earth, And they (i. e. the heathen) shall be cast into the judgement of fire, And shall perish in wrath and in grievous judgement for ever.",Charles supplied text: _i. e._ the heathen,,,,,_i. e._ the heathen,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 91:19,emended_text,"And now, hearken unto me, my sons, And walk in the paths of righteousness, And walk not in the paths of violence; For all who walk in the paths of unrighteousness shall perish for ever.’ XCIII, XCI. 12-",Charles emended text: ever,,,,,,ever,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 93:1,corrupt_text,And after that Enoch both gave and began to recount from the books.,Charles marks corrupt text: gave,,,,,,,gave,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 93:2,supplied_text,"And Enoch said: ‘Concerning the children of righteousness and concerning the elect of the world, And concerning the plant of uprightness, I will speak these things, Yea, I Enoch, will declare (them) unto you, my sons: According to that which appeared to me in the heavenly vision, And which I have known through the word of the holy angels, And have learnt from the heavenly tablets.’",Charles supplied text: them,,,,,them,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 93:5,emended_text,And after that in the third week at its close A man shall be elected as the plant of righteous judgement. And his posterity shall become the plant of righteousness for evermore.,Charles emended text: his posterity,,,,,,his posterity,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 94:5,emended_text,"And hold fast my words in the thoughts of your hearts, And suffer them not to be effaced from your hearts; For know that sinners will tempt men to evilly-entreat wisdom, So that no place may be found for her, And no manner of temptation may minish.",Charles emended text: evilly-entreat,,,,,,evilly-entreat,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 94:7,interpolations,"Woe to those who build their houses with sin; For from all their foundations shall they be overthrown, And by the sword shall they fall. And those who acquire gold and silver in judgement suddenly shall perish.",Charles marks interpolation: And those who acquire gold and silver in judgement suddenly shall perish.,,,,And those who acquire gold and silver in judgement suddenly shall perish.,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 95:1,interpolations; corrupt_text,"Oh that mine eyes were a cloud of waters That I might weep over you, And pour down my tears as a cloud of waters: That so I might rest from my trouble of heart!",Charles marks interpolation: a cloud of; Charles marks corrupt text: of,,,,a cloud of,,,of,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 95:2,corrupt_text,"Who has permitted you to practise reproaches and wickedness? And so judgement shall overtake you, sinners.","Charles marks corrupt text: Who has permitted you to practise reproaches and wickedness? And so judgement shall overtake you, sinners.",,,,,,,"Who has permitted you to practise reproaches and wickedness? And so judgement shall overtake you, sinners.",Review Charles editorial marker before using this wording in an appendix.
1 Enoch 96:4,supplied_text,"Woe unto you, ye sinners, for your riches make you appear like the righteous, But your hearts convict you of being sinners, And this fact shall be a testimony against you for a memorial of (your) evil deeds.",Charles supplied text: your,,,,,your,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 96:5,emended_text,"Woe to you who devour the finest of the wheat, And drink wine in large bowls, And tread under foot the lowly with your might.",Charles emended text: wine in large bowls,,,,,,wine in large bowls,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 96:6,emended_text,"Woe to you who drink water from every fountain, For suddenly shall ye be consumed and wither away, Because ye have forsaken the fountain of life.",Charles emended text: from every fountain,,,,,,from every fountain,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 97:2,supplied_text,"Be it known unto you (ye sinners) that the Most High is mindful of your destruction, And the angels of heaven rejoice over your destruction.",Charles supplied text: ye sinners,,,,,ye sinners,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 97:9,supplied_text,"And now let us do what we purposed: For we have gathered silver, 9^d And many are the husbandmen in our houses, 9^c And our granaries are (brim)full as with water.”",Charles supplied text: brim,,,,,brim,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 98:15,supplied_text,Woe to you who write down lying and godless words; for they write down their lies that men may hear them and act godlessly towards (their) neighbour.,Charles supplied text: their,,,,,their,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 99:2,interpolations,"Woe to them who pervert the words of uprightness, And transgress the eternal law, And transform themselves into what they were not into sinners: They shall be trodden under foot upon the earth.",Charles marks interpolation: into sinners,,,,into sinners,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 99:3,emended_text,"In those days make ready, ye righteous, to raise your prayers as a memorial, And place them as a testimony before the angels, That they may place the sin of the sinners for a memorial before the Most High.",Charles emended text: a,,,,,,a,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 99:5,supplied_text,"And in those days the destitute shall go forth and carry off their children, And they shall abandon them, so that their children shall perish through them: Yea, they shall abandon their children (that are still) sucklings, and not return to them, And shall have no pity on their beloved ones.",Charles supplied text: that are still,,,,,that are still,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 99:7,restored_text,"And they who worship stones, and grave images of gold and silver and wood and stone and clay, and those who worship impure spirits and demons, and all kinds of idols not according to knowledge, shall get no manner of help from them.",Charles restored text: and stone,,,and stone,,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 99:12,supplied_text,"Woe to you who make deceitful and false measures, And (to them) who cause bitterness on the earth; For they shall thereby be utterly consumed.",Charles supplied text: to them,,,,,to them,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 99:16,emended_text,"For He shall cast down your glory, And bring affliction on your hearts, And shall arouse His fierce indignation, And destroy you all with the sword; And all the holy and righteous shall remember your sins.",Charles emended text: His fierce indignation,,,,,,His fierce indignation,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 100:6,supplied_text; emended_text,"And (then) the children of the earth shall see the wise in security, And shall understand all the words of this book, And recognize that their riches shall not be able to save them In the overthrow of their sins.",Charles supplied text: then; Charles emended text: in security,,,,,then,in security,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 100:7,emended_text,"Woe to you, sinners, on the day of strong anguish, Ye who afflict the righteous and burn them with fire: Ye shall be requited according to your works.",Charles emended text: Ye who,,,,,,Ye who,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 101:4,emended_text,"And see ye not the sailors of the ships, how their ships are tossed to and fro by the waves, and are shaken by the winds, and are in sore trouble?",Charles emended text: sailors,,,,,,sailors,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 101:9,emended_text,Do not the sailors of the ships fear the sea? Yet sinners fear not the Most High.,Charles emended text: sailors,,,,,,sailors,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 102:3,corrupt_text,"And all the angels shall execute their commands And shall seek to hide themselves from the presence of the Great Glory, And the children of earth shall tremble and quake; And ye sinners shall be accursed for ever, And ye shall have no peace.",Charles marks corrupt text: angels shall execute their commands,,,,,,,angels shall execute their commands,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 102:5,emended_text,"And grieve not if your soul into Sheol has descended in grief, And that in your life your body fared not according to your goodness, But wait for the day of the judgement of sinners, And for the day of cursing and chastisement.",Charles emended text: wait for; judgement,,,,,,wait for; judgement,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 103:10,interpolations,"And we have been destroyed and have not found any to help us even with a word: We have been tortured and destroyed, and hoped not to see life from day to day.",Charles marks interpolation: and destroyed,,,,and destroyed,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 103:12,corrupt_text,"They have had dominion over us that hated us and smote us; And to those that hated us we have bowed our necks, But they pitied us not.",Charles marks corrupt text: and smote us; And to those that hated us,,,,,,,and smote us; And to those that hated us,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 105:1,supplied_text,"In those days the Lord bade (them) to summon and testify to the children of earth concerning their wisdom: Show (it) unto them; for ye are their guides, and a recompense over the whole earth.",Charles supplied text: them; it,,,,,them; it,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 105:2,supplied_text,"For I and My Son will be united with them for ever in the paths of uprightness in their lives; and ye shall have peace: rejoice, ye children of uprightness. Amen. FRAGMENT OF THE BOOK OF NOAH. (CVI-CVII.)",Charles supplied text: CVI-CVII.,,,,,CVI-CVII.,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 106:2,corrupt_text,"And his body was white as snow and red as the blooming of a rose, and the hair of his head and his long locks were white as wool, and his eyes beautiful. And when he opened his eyes, he lighted up the whole house like the sun, and the whole house was very bright.","Charles marks corrupt text: and his long locks were white as wool, and his eyes beautiful",,,,,,,"and his long locks were white as wool, and his eyes beautiful",Review Charles editorial marker before using this wording in an appendix.
1 Enoch 106:3,corrupt_text,"And thereupon he arose in the hands of the midwife, opened his mouth, and conversed with the Lord of righteousness.",Charles marks corrupt text: conversed with,,,,,,,conversed with,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 106:8,emended_text,"And when Methuselah heard the words of his son, he came to me to the ends of the earth; for he had heard that I was there, and he cried aloud, and I heard his voice and I came to him. And I said unto him: ‘Behold, here am I, my son, wherefore hast thou come to me?’",Charles emended text: wherefore,,,,,,wherefore,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 106:13,emended_text,"And I, Enoch, answered and said unto him: ‘The Lord will do a new thing on the earth, and this I have already seen in a vision, and make known to thee that in the generation of my father Jared some of the angels of heaven transgressed the word of the Lord.",Charles emended text: angels,,,,,,angels,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 106:16,interpolations,"And this son who has been born unto you shall be left on the earth, and his three children shall be saved with him: when all mankind that are on the earth shall die he and his sons shall be saved.",Charles marks interpolation: he and his sons shall be saved,,,,he and his sons shall be saved,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 106:19,supplied_text,"And after that there shall be still more unrighteousness than that which was first consummated on the earth; for I know the mysteries of the holy ones; for He, the Lord, has showed me and informed me, and I have read (them) in the heavenly tablets.",Charles supplied text: them,,,,,them,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 107:2,supplied_text,"And now, my son, go and make known to thy son Lamech that this son, which has been born, is in truth his son, and that (this) is no lie.’",Charles supplied text: this,,,,,this,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 107:3,supplied_text,And when Methuselah had heard the words of his father Enoch—for he had shown to him everything in secret—he returned and showed (them) to him and called the name of that son Noah; for he will comfort the earth after all the destruction. CVIII. AN APPENDIX TO THE BOOK OF ENOCH.,Charles supplied text: them,,,,,them,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 108:3,emended_text,"And wait ye indeed till sin has passed away, for their names shall be blotted out of the book of life and out of the holy books, and their seed shall be destroyed for ever, and their spirits shall be slain, and they shall cry and make lamentation in a place that is a chaotic wilderness, and in the fire shall they burn; for there is no earth there.",Charles emended text: in the fire shall they burn,,,,,,in the fire shall they burn,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 108:4,corrupt_text,"And I saw there something like an invisible cloud; for by reason of its depth I could not look over, and I saw a flame of fire blazing brightly, and things like shining mountains circling and sweeping to and fro.",Charles marks corrupt text: look over,,,,,,,look over,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 108:6,supplied_text,"And he said unto me: ‘This place which thou seest—here are cast the spirits of sinners and blasphemers, and of those who work wickedness, and of those who pervert every thing that the Lord hath spoken through the mouth of the prophets—(even) the things that shall be.",Charles supplied text: even,,,,,even,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 108:15,supplied_text; emended_text,"And the sinners shall cry aloud and see them resplendent, and they indeed shall go where days and seasons are prescribed for them.’ PRINTED IN GREAT BRITAIN BY RICHARD CLAY AND COMPANY, LTD., BUNGAY, SUFFOLK. ● Transcriber’s Notes: ○ Text that was in italics is enclosed by underscores (italics). ○ Text that was in bold face is enclosed by equals signs (bold). ○ Text that was in superscript is preceded by a caret (^) sign. A single character superscript is simply G^s; multiple characters in superscript are enclosed in curly brackets, like G^{s1}. ○ Footnotes have been moved to follow the chapters in which they are referenced. *** END OF THE PROJECT GUTENBERG EBOOK 77935 ***",Charles supplied text: _italics_; =bold=; ^; Charles emended text: bold,,,,,_italics_; =bold=; ^,bold,,Review Charles editorial marker before using this wording in an appendix.
