ref,book_name,chapter,verse,priority_score,importance,category,fresh_translation,mt_translation,brenton_translation,fresh_mt_ratio,fresh_brenton_ratio
Exodus 35:10,Exodus,35,10,0,none,different_from_both,"And every wise-hearted person among you, let him come and make all that the Lord has commanded:","And every wise hearted among you shall come, and make all that the LORD has commanded;","And every man that is wise in heart among you, let him come and work all things whatsoever the Lord has commanded.",0.904,0.790
Genesis 11:29,Genesis,11,29,0,none,different_from_both,"And Abram and Nahor took wives for themselves. The name of Abram's wife was Sara, and the name of Nahor's wife was Milcah, daughter of Haran, father of Milcah and father of Jescha.","And Abram and Nahor took them wives: the name of Abram's wife was Sarai; and the name of Nahor's wife, Milcah, the daughter of Haran, the father of Milcah, and the father of Iscah.","And Abram and Nachor took to themselves wives, the name of the wife of Abram was Sara, and the name of the wife of Nachor, Malcha, daughter of Arrhan, and he was the father of Malcha, the father of Jescha.",0.890,0.776
Judges 12:12,Judges,12,12,0,none,different_from_both,"And Elon the Zebulunite died in Elim, and they buried him in the land of Zebulun.","And Elon the Zebulonite died, and was buried in Aijalon in the country of Zebulun.","And Ælom of Zabulon died, and was buried in Ælom in the land of Zabulon.",0.767,0.653
Lamentations 5:2,Lamentations,5,2,0,none,different_from_both,"Our inheritance turned over to strangers, our houses to foreigners.","Our inheritance is turned to strangers, our houses to aliens.","Our inheritance has been turned away to aliens, our houses to strangers:",0.855,0.741
1 Chronicles 26:21,1 Chronicles,26,21,0,none,different_from_both,"Sons of Laadan, sons of Gershonite for Laadan, chiefs of fathers for Laadan the Gershonite: Jehieli.","As concerning the sons of Laadan; the sons of the Gershonite Laadan, chief fathers, even of Laadan the Gershonite, were Jehieli.","These were the sons of Ladan, the sons of the Gersonite: to Ladan belonged the heads of the families: the son of Ladan the Gersonite was Jeiel.",0.785,0.672
1 Kings 16:18,1 Kings,16,18,0,none,different_from_both,"And it came to be when Zimri saw that his city had been seized, he entered into the citadel of the king's house and burned the king's house over himself with fire and died,","And it came to pass, when Zimri saw that the city was taken, that he went into the palace of the king's house, and burnt the king's house over him with fire, and died.","And it came to pass when Zambri saw that his city was taken, that he goes into the inner chamber of the house of the king, and burnt the king's house over him, and died.",0.848,0.735
1 Samuel 30:1,1 Samuel,30,1,0,none,different_from_both,"And it came to be when David and his men entered into Ziklag on the third day, Amalek attacked the south and Ziklag and struck Ziklag and burned it with fire.","And it came to pass, when David and his men were come to Ziklag on the third day, that the Amalekites had invaded the south, and Ziklag, and smitten Ziklag, and burned it with fire;","And it came to pass when David and his men had entered Sekelac on the third day, that Amalec had made an incursion upon the south, and upon Sekelac, and smitten Sekelac, and burnt it with fire.",0.846,0.733
2 Chronicles 12:16,2 Chronicles,12,16,0,none,different_from_both,"And Rehoboam died and was buried with his fathers and was buried in City of David, and Abijah his son reigned in his place.","And Rehoboam slept with his fathers, and was buried in the city of David: and Abijah his son reigned in his position.","And Roboam made war with Jeroboam all his days. And Roboam died with his fathers, and was buried in the city of David: and Abia his son reigned in his stead.",0.843,0.730
Deuteronomy 15:16,Deuteronomy,15,16,0,none,different_from_both,"And if he says to you, I will not go out from you, because he loved you and your household, because it is well for him with you,","And it shall be, if he say unto you, I will not go away from you; because he loves you and yours house, because he is well with you;","And if he should say to thee, I will not go out from thee, because he continues to love thee and thy house, because he is well with thee;",0.837,0.724
Exodus 28:9,Exodus,28,9,0,none,different_from_both,"And you shall take the two emerald stones and engrave on them the names of the sons of Israel,","And you shall take two onyx stones, and grave on them the names of the children of Israel:","And thou shalt take the two stones, the stones of emerald, and thou shalt grave on them the names of the children of Israel.",0.851,0.738
Job 38:4,Job,38,4,0,none,different_from_both,"Where were you when I founded earth? Declare to me, if you know understanding.","Where were you when I laid the foundations of the earth? declare, if you have understanding.","Where wast thou when I founded the earth? tell me now, if thou hast knowledge,",0.780,0.667
Judges 4:10,Judges,4,10,0,none,different_from_both,"And Barak summoned Zebulun and Naphtali to Kedesh, and ten thousand men went up at his feet, and Deborah went up with him.",And Barak called Zebulun and Naphtali to Kedesh; and he went up with ten thousand men at his feet: and Deborah went up with him.,"And Barac called Zabulon and Nephthali out of Cades, and there went up at his feet ten thousand men, and Debbora went up with him.",0.861,0.748
Job 11:13,Job,11,13,0,none,different_from_both,"For if you set your heart pure and stretch out hands toward him,","If you prepare yours heart, and stretch out yours hands toward him;","For if thou hast made thine heart pure, and liftest up thine hands towards him;",0.812,0.700
Leviticus 11:47,Leviticus,11,47,0,none,different_from_both,"to distinguish between the unclean and the clean, and between the living things that may be eaten and the living things that may not be eaten.","To make a difference between the unclean and the clean, and between the beast that may be eaten and the beast that may not be eaten.","to distinguish between the unclean and the clean; and between those that bring forth alive, such as should be eaten, and those that bring forth alive, such as should not be eaten.",0.800,0.688
2 Samuel 3:25,2 Samuel,3,25,0,none,different_from_both,"Do you not know the evil of Abner son of Ner, that he came to deceive you and to know your going out and your coming in and to know all that you do?","You know Abner the son of Ner, that he came to deceive you, and to know your going out and your coming in, and to know all that you do.","Knowest thou not the mischief of Abenner the son of Ner, that he came to deceive thee, and to know thy going out and thy coming in, and to know all things that thou doest?",0.917,0.805
Exodus 12:8,Exodus,12,8,0,none,different_from_both,"""And they shall eat the flesh on this night, roasted by fire, and unleavened bread. With bitter herbs they shall eat it.""","And they shall eat the flesh in that night, roast with fire, and unleavened bread; and with bitter herbs they shall eat it.","And they shall eat the flesh in this night roast with fire, and they shall eat unleavened bread with bitter herbs.",0.923,0.811
Ezekiel 27:2,Ezekiel,27,2,0,none,different_from_both,"Son of man, take up lamentation over Tyre,","Now, you son of man, take up a lamentation for Tyrus;","And thou, son of man, take up a lamentation against Sor;",0.822,0.710
Ezekiel 48:5,Ezekiel,48,5,0,none,different_from_both,"And beside border of Manasseh, from east side to west side, Ephraim, one portion.","And by the border of Manasseh, from the east side unto the west side, a portion for Ephraim.","And from the borders of Manasse, from the eastern parts as far as the west coasts, for Ephraim, one.",0.759,0.647
Genesis 36:11,Genesis,36,11,0,none,different_from_both,"And Eliphaz' sons were Teman, Omar, Zepho, Gatam, and Kenaz.","And the sons of Eliphaz were Teman, Omar, Zepho, and Gatam, and Kenaz.","And the sons of Eliphas were Thæman, Omar, Sophar, Gothom, and Kenez.",0.824,0.712
Jeremiah 13:8,Jeremiah,13,8,0,none,different_from_both,"And the word of the Lord came to me, saying,","Then the word of the LORD came unto me, saying,","And the word of the Lord came to me, saying, Thus saith the Lord,",0.920,0.808
Nahum 1:8,Nahum,1,8,0,none,different_from_both,"With overflowing flood he will make an end of those rising up, and darkness will pursue his enemies.","But with a surpassing flood he will make an utter end of the place thereof, and darkness shall pursue his enemies.",But with an overrunning flood he will make an utter end: darkness shall pursue those that rise up against him and his enemies.,0.752,0.640
Numbers 33:24,Numbers,33,24,0,none,different_from_both,And they set out from Mount Shapher and camped at Haradah.,"And they removed from mount Shapher, and encamped in Haradah.","And they departed from Saphar, and encamped in Charadath.",0.862,0.750
1 Chronicles 27:19,1 Chronicles,27,19,0,none,different_from_both,"for Zebulun, Shemaiah son of Obadiah; for Naphtali, Jerimoth son of Azriel;","Of Zebulun, Ishmaiah the son of Obadiah: of Naphtali, Jerimoth the son of Azriel:","for Zabulon, Samæas the son of Abdiu: for Nephthali, Jerimoth the son of Oziel:",0.892,0.781
1 Chronicles 27:21,1 Chronicles,27,21,0,none,different_from_both,"for half tribe of Manasseh in Gilead, Iddo son of Zechariah; for sons of Benjamin, Jaasiel son of Abner;","Of the half tribe of Manasseh in Gilead, Iddo the son of Zechariah: of Benjamin, Jaasiel the son of Abner:","for the half-tribe of Manasse in the land of Galaad, Jadai the son of Zadæas, for the sons of Benjamin, Jasiel the son of Abenner:",0.881,0.770
2 Chronicles 27:4,2 Chronicles,27,4,0,none,different_from_both,"And he built cities in mountain of Judah, and in forests dwellings and towers.","Moreover he built cities in the mountains of Judah, and in the forests he built castles and towers.","In the mountain of Juda, and in the woods, he built both dwelling-places and towers.",0.786,0.675
Exodus 7:2,Exodus,7,2,0,none,different_from_both,"You shall speak to him all that I command you, and Aaron your brother shall speak to Pharaoh so that he may send out the sons of Israel from his land.","You shall speak all that I command you: and Aaron your brother shall speak unto Pharaoh, that he send the children of Israel out of his land.","And thou shalt say to him all things that I charge thee, and Aaron thy brother shall speak to Pharao, that he should send forth the children of Israel out of his land.",0.867,0.756
Genesis 24:38,Genesis,24,38,0,none,different_from_both,but you shall go instead to my father's house and to my tribe and take a wife for my son from there.,"But you shall go unto my father's house, and to my kindred, and take a wife unto my son.","But thou shalt go to the house of my father, and to my tribe, and thou shalt take thence a wife for my son.",0.824,0.713
Numbers 13:14,Numbers,13,14,0,none,different_from_both,"from the tribe of Naphtali, Nahbi son of Vophsi;","Of the tribe of Naphtali, Nahbi the son of Vophsi.","Of the tribe of Nephthali, Nabi the son of Sabi.",0.915,0.804
1 Chronicles 1:42,1 Chronicles,1,42,0,none,different_from_both,"And sons of Ezer: Bilhan, Zoukan, and Jakan. Sons of Dishan also: Os and Haran.","The sons of Ezer; Bilhan, and Zavan, and Jakan. The sons of Dishan; Uz, and Aran.","And the sons of Hosar, Balaam, and Zucam, and Acan: the sons of Disan, Os, and Aran.",0.803,0.693
Job 31:4,Job,31,4,0,none,different_from_both,Does he not see my way and count all my steps?,"Does not he see my ways, and count all my steps?","Will he not see my way, and number all my steps?",0.923,0.813
Numbers 32:13,Numbers,32,13,0,none,different_from_both,And the Lord was enraged in anger against Israel and drove them round in the wilderness forty years until all the generation doing evil before the Lord was consumed.,"And the LORD's anger was kindled against Israel, and he made them wander in the wilderness forty years, until all the generation, that had done evil in the sight of the LORD, was consumed.","And the Lord was very angry with Israel; and for forty years he caused them to wander in the wilderness, until all the generation which did evil in the sight of the Lord was extinct.",0.798,0.688
1 Chronicles 23:9,1 Chronicles,23,9,0,none,different_from_both,"Sons of Shimei: Shelomith and Jeiel and Haran, three. These were chiefs of fathers for Laadan.","The sons of Shimei; Shelomith, and Haziel, and Haran, three. These were the chief of the fathers of Laadan.","The sons of Semei; Salomith, Jeiel, and Dan, three: these were the chiefs of the families of Edan.",0.890,0.780
Deuteronomy 6:23,Deuteronomy,6,23,0,none,different_from_both,"And he brought us out from there so that he might bring us in, to give us this land that he swore to give to our fathers.","And he brought us out from thence, that he might bring us in, to give us the land which he swore unto our fathers.","And he brought us out thence to give us this land, which he sware to give to our fathers.",0.887,0.777
Ezekiel 31:2,Ezekiel,31,2,0,none,different_from_both,"Son of man, say to Pharaoh king of Egypt and to his multitude, To whom did you liken yourself in your height?","Son of man, speak unto Pharaoh king of Egypt, and to his multitude; Whom are you like in your greatness?","Son of man, say to Pharao king of Egypt, and to his multitude;",0.825,0.715
Judges 18:16,Judges,18,16,0,none,different_from_both,"And the six hundred men girded with weapons of war, from the sons of Dan, stood by the doorway of the gate.","And the six hundred men appointed with their weapons of war, which were of the children of Dan, stood by the entering of the gate.",And the six hundred men of the sons of Dan who were girded with their weapons of war stood by the door of the gate.,0.771,0.661
1 Kings 15:3,1 Kings,15,3,0,none,different_from_both,"And he walked in the sins of his father that he did before him, and his heart was not perfect with the Lord his God like the heart of David his father.","And he walked in all the sins of his father, which he had done before him: and his heart was not perfect with the LORD his God, as the heart of David his father.","And he walked in the sins of his father which he wrought in his presence, and his heart was not perfect with the Lord his God, as was the heart of his father David.",0.922,0.813
1 Kings 18:8,1 Kings,18,8,0,none,different_from_both,"And Elijah said to him, I am. Go, tell your lord, Behold, Elijah.","And he answered him, I am: go, tell your lord, Behold, Elijah is here.","And Eliu said to him, I am: go, say to thy master, Behold, Eliu is here.",0.797,0.688
2 Kings 23:30,2 Kings,23,30,0,none,different_from_both,"And his servants set him on the chariot, dead from Megiddo, and brought him to Jerusalem and buried him in his tomb in the city of David. And the people of the land took Jehoahaz son of Josiah and anointed him and made him king in place of his father.","And his servants carried him in a chariot dead from Megiddo, and brought him to Jerusalem, and buried him in his own tomb. And the people of the land took Jehoahaz the son of Josiah, and anointed him, and made him king in his father's position.","And his servants carried him dead from Mageddo, and brought him to Jerusalem, and buried him in his sepulchre: and the people of the land took Joachaz the son of Josias, and anointed him, and made him king in the room of his father.",0.802,0.693
1 Chronicles 23:12,1 Chronicles,23,12,0,none,different_from_both,"Sons of Kohath: Amram, Izhar, Hebron, Uzziel, four.","The sons of Kohath; Amram, Izhar, Hebron, and Uzziel, four.","The sons of Caath; Ambram, Isaar, Chebron, Oziel, four.",0.918,0.809
Ezra 7:14,Ezra,7,14,0,none,different_from_both,"Because you are sent from presence of the king and the seven counselors to inspect concerning Judah and Jerusalem by law of your God in your hand,","Forasmuch as you are sent of the king, and of his seven counsellors, to enquire concerning Judah and Jerusalem, according to the law of your God which is in yours hand;","One has been sent from the king and the seven councillors, to visit Judea and Jerusalem, according to the law of their God that is in thine hand.",0.764,0.655
Judges 8:6,Judges,8,6,0,none,different_from_both,"And the leaders of Succoth said, Is the hand of Zebah and Zalmunna now in your hand, that we should give bread to your army?","And the princes of Succoth said, Are the hands of Zebah and Zalmunna now in yours hand, that we should give bread unto yours army?","And the princes of Socchoth said, Are the hands of Zebee and Salmana now in thy hand, that we should give bread to thy host?",0.919,0.810
Nehemiah 13:11,Nehemiah,13,11,0,none,different_from_both,"And I contended with the generals and said, Why was house of God forsaken? And I gathered them and set them in their standing.","Then contended I with the rulers, and said, Why is the house of God forsaken? And I gathered them together, and set them in their place.","And I strove with the commanders, and said, Wherefore has the house of God been abandoned? and I assembled them, and set them in their place.",0.827,0.718
Numbers 1:16,Numbers,1,16,0,none,different_from_both,"These were the called ones of the congregation, chiefs of the tribes of their fathers, commanders of thousands in Israel.","These were the renowned of the congregation, princes of the tribes of their fathers, heads of thousands in Israel.","These were famous men of the congregation, heads of the tribes according to their families: these are heads of thousands in Israel.",0.865,0.756
Numbers 35:16,Numbers,35,16,0,none,different_from_both,"But if he strikes him with an iron tool and he dies, he is a murderer. The murderer shall surely be put to death.","And if he strike him with an instrument of iron, so that he die, he is a murderer: the murderer shall surely be put to death.","And if he should smite him with an iron instrument, and the man should die, he is a murderer; let the murderer by all means be put to death.",0.857,0.748
Ecclesiastes 6:9,Ecclesiastes,6,9,0,none,different_from_both,Better sight of the eyes than wandering of the soul; this too is vanity and choice of spirit.,Better is the sight of the eyes than the wandering of the desire: this is also vanity and vexation of spirit.,"The sight of the eyes is better than that which wanders in soul: this is also vanity, and waywardness of spirit.",0.798,0.690
Judges 9:46,Judges,9,46,0,none,different_from_both,"And all the men of the tower of Shechem heard, and they entered into the stronghold of the house of Baal-covenant.","And when all the men of the tower of Shechem heard that, they entered into an hold of the house of the god Berith.","And all the men of the tower of Sychem heard, and came to the gathering of Bæthel-berith.",0.812,0.704
2 Kings 25:30,2 Kings,25,30,0,none,different_from_both,"And his allowance, a continual allowance, was given to him from the king's house, a matter of a day in its day, all the days of his life.","And his allowance was a continual allowance given him of the king, a daily rate for every day, all the days of his life.","And his portion, a continual portion, was given him out of the house of the king, a daily rate for every day all the days of his life.",0.782,0.674
Exodus 29:6,Exodus,29,6,0,none,different_from_both,"And you shall put the turban on his head, and you shall put the holy plate on the turban.","And you shall put the turban upon his head, and put the holy crown upon the turban.","And thou shalt put the mitre on his head; and thou shalt put the plate, even the Holiness, on the mitre.",0.857,0.749
Ezra 10:34,Ezra,10,34,0,none,different_from_both,"From sons of Bani: Maadai, Amram, Uel,","Of the sons of Bani; Maadai, Amram, and Uel,","And of the sons of Bani; Moodia, Amram, Uel,",0.838,0.730
Genesis 37:12,Genesis,37,12,0,none,different_from_both,And his brothers went to pasture their father's sheep at Shechem.,And his brethren went to feed their father's flock in Shechem.,And his brethren went to feed the sheep of their father to Sychem.,0.764,0.656
1 Chronicles 22:10,1 Chronicles,22,10,0,none,different_from_both,"He shall build house to my name, and he shall be to me for son, and I to him for father, and I will set upright throne of his kingdom in Israel forever.","He shall build an house for my name; and he shall be my son, and I will be his father; and I will establish the throne of his kingdom over Israel for ever.","He shall build a house to my name; and he shall be a son to me, and I will be a father to him; and I will establish the throne of his kingdom in Israel for ever.",0.809,0.702
1 Chronicles 4:30,1 Chronicles,4,30,0,none,different_from_both,and Bethuel and Hormah and Ziklag,"And at Bethuel, and at Hormah, and at Ziklag,","and in Bathuel, and in Herma, and in Sikelag,",0.880,0.773
1 Samuel 11:13,1 Samuel,11,13,0,none,different_from_both,"And Saul said, No one will be put to death on this day, because today the Lord has worked salvation in Israel.","And Saul said, There shall not a man be put to death this day: in order to day the LORD has wrought salvation in Israel.","And Saul said, No man shall die this day, for to-day the Lord has wrought deliverance in Israel.",0.777,0.670
2 Kings 22:4,2 Kings,22,4,0,none,different_from_both,"Go up to Hilkiah the high priest and seal the silver brought into the house of the Lord, which the keepers of the threshold gathered from the people.","Go up to Hilkiah the high priest, that he may sum the silver which is brought into the house of the LORD, which the keepers of the door have gathered of the people:","Go up to Chelcias the high priest, and take account of the money that is brought into the house of the Lord, which they that keep the door have collected of the people.",0.857,0.750
2 Samuel 4:3,2 Samuel,4,3,0,none,different_from_both,And the Beerothites fled into Gittaim and were sojourning there until this day.,"And the Beerothites fled to Gittaim, and were sojourners there until this day.)","And the Berothites ran away to Gethaim, and were sojourners there until this day.",0.948,0.841
2 Samuel 4:5,2 Samuel,4,5,0,none,different_from_both,"And sons of Rimmon the Beerothite, Rechab and Baana, went and entered in the heat of the day into the house of Ishbosheth, and he was sleeping on the bed at noon.","And the sons of Rimmon the Beerothite, Rechab and Baanah, went, and came about the heat of the day to the house of Ishbosheth, who lay on a bed at noon.","And Rechab and Baana the sons of Remmon the Berothite went, and they came in the heat of the day into the house of Jebosthe; and he was sleeping on a bed at noon.",0.833,0.726
Genesis 45:27,Genesis,45,27,0,none,different_from_both,"And they told him all the words of Joseph that he had spoken to them. And when he saw the carts that Joseph had sent to take him, the spirit of Jacob their father revived.","And they told him all the words of Joseph, which he had said unto them: and when he saw the wagons which Joseph had sent to carry him, the spirit of Jacob their father revived:","But they spoke to him all the words uttered by Joseph, whatsoever he said to them; and having seen the chariots which Joseph sent to take him up, the spirit of Jacob their father revived.",0.888,0.781
Joshua 18:25,Joshua,18,25,0,none,same_as_mt_differs_from_brenton,"Gibeon and Ramah and Beeroth,","Gibeon, and Ramah, and Beeroth,","Gabaon, and Rama, and Beerotha;",1.000,0.893
Numbers 9:12,Numbers,9,12,0,none,different_from_both,"They shall leave none of it until morning, and they shall not break a bone of it. According to the law of the Passover they shall keep it.","They shall leave none of it unto the morning, nor break any bone of it: according to all the ordinances of the passover they shall keep it.","They shall not leave of it until the morrow, and they shall not break a bone of it; they shall sacrifice it according to the ordinance of the passover.",0.849,0.742
Deuteronomy 28:34,Deuteronomy,28,34,0,none,different_from_both,and you shall be maddened by the sights of your eyes that you see.,So that you shall be mad for the sight of yours eyes which you shall see.,"And thou shalt be distracted, because of the sights of thine eyes which thou shalt see.",0.759,0.653
Exodus 36:5,Exodus,36,5,0,none,different_from_both,"and they said to Moses, ""The people are bringing more than enough for the works that the Lord commanded to be done.""","And they spoke unto Moses, saying, The people bring much more than enough for the service of the work, which the LORD commanded to make.","And one said to Moses, The people bring an abundance too great in proportion to all the works which the Lord has appointed them to do.",0.754,0.648
Exodus 6:18,Exodus,6,18,0,none,different_from_both,"And sons of Kohath: Amram and Izhar, Hebron, and Uzziel. And the years of Kohath's life were one hundred thirty years.","And the sons of Kohath; Amram, and Izhar, and Hebron, and Uzziel: and the years of the life of Kohath were an hundred thirty and three years.","Ambram and Issaar, Chebron, and Oziel; and the years of the life of Caath were a hundred and thirty-three years.",0.842,0.736
Genesis 46:30,Genesis,46,30,0,none,different_from_both,"And Israel said to Joseph, From now on I will die, since I have seen your face, because you still live.","And Israel said unto Joseph, Now let me die, since I have seen your face, because you are yet alive.","And Israel said to Joseph, After this I will gladly die, since I have seen thy face, for thou art yet living.",0.841,0.735
Leviticus 16:19,Leviticus,16,19,0,none,different_from_both,And he shall sprinkle some of the blood on it with his finger seven times and cleanse it and sanctify it from the uncleannesses of the sons of Israel.,"And he shall sprinkle of the blood upon it with his finger seven times, and cleanse it, and hallow it from the uncleanness of the children of Israel.","And he shall sprinkle some of the blood upon it seven times with his finger, and shall purge it, and hallow it from the uncleanness of the children of Israel.",0.895,0.789
Numbers 1:15,Numbers,1,15,0,none,different_from_both,"from Naphtali, Ahira son of Enan.",Of Naphtali; Ahira the son of Enan.,"Of Nephthali, Achire the son of Ænan.",0.875,0.769
Numbers 1:9,Numbers,1,9,0,none,different_from_both,"from Zebulun, Eliab son of Helon;",Of Zebulun; Eliab the son of Helon.,"Of Zabulon, Eliab the son of Chælon.",0.875,0.769
1 Chronicles 11:29,1 Chronicles,11,29,0,none,different_from_both,"Sibbecai the Hushathite, Eli the Ahohite,","Sibbecai the Hushathite, Ilai the Ahohite,","Sobochai the Usathite, Eli the Achonite,",0.962,0.857
1 Chronicles 9:10,1 Chronicles,9,10,0,none,different_from_both,"And from the priests: Jedaiah and Jehoiarib and Jachin,","And of the priests; Jedaiah, and Jehoiarib, and Jachin,","And of the priests; Jodaë, and Joarim, and Jachin,",0.962,0.857
1 Samuel 1:26,1 Samuel,1,26,0,none,different_from_both,"And she said, In me, lord, your soul lives: I am the woman who stood before you in praying to the Lord.","And she said, Oh my lord, as your soul lives, my lord, I am the woman that stood by you here, praying unto the LORD.","And she said, I pray thee, my lord, as thy soul liveth, I am the woman that stood in thy presence with thee while praying to the Lord.",0.827,0.722
2 Chronicles 25:21,2 Chronicles,25,21,0,none,different_from_both,"And Joash king of Israel went up, and they looked one another in face, he and Amaziah king of Judah, at Beth-shemesh, which belongs to Judah.","So Joash the king of Israel went up; and they saw one another in the face, both he and Amaziah king of Judah, at Bethshemesh, which belongs to Judah.","So Joas king of Israel went up; and they saw one another, he and Amasias king of Juda, in Bæthsamys, which is of Juda.",0.900,0.795
Numbers 22:2,Numbers,22,2,0,none,different_from_both,And Balak son of Zippor saw all that Israel had done to the Amorite.,And Balak the son of Zippor saw all that Israel had done to the Amorites.,"And when Balac son of Sepphor saw all that Israel did to the Amorite,",0.964,0.859
Numbers 36:10,Numbers,36,10,0,none,different_from_both,"Just as the Lord commanded Moses, so the daughters of Zelophehad did.","Even as the LORD commanded Moses, so did the daughters of Zelophehad:","As the Lord commanded Moses, so did they to the daughters of Salpaad.",0.881,0.776
2 Kings 13:4,2 Kings,13,4,0,none,different_from_both,"And Jehoahaz entreated the face of the Lord, and the Lord listened to him, because he saw the oppression of Israel, that the king of Syria oppressed them.","And Jehoahaz besought the LORD, and the LORD hearkened unto him: for he saw the oppression of Israel, because the king of Syria oppressed them.","And Joachaz besought the Lord, and the Lord hearkened to him, for he saw the affliction of Israel, because the king of Syria afflicted them.",0.810,0.706
1 Chronicles 6:1,1 Chronicles,6,1,0,none,different_from_both,"Sons of Levi: Gershon, Kohath, and Merari.","The sons of Levi; Gershon, Kohath, and Merari.","The sons of Levi: Gedson, Caath, and Merari.",0.950,0.846
2 Chronicles 6:41,2 Chronicles,6,41,0,none,different_from_both,"And now rise up, Lord God, into your resting place, you and ark of your strength. Let your priests, Lord God, put on salvation, and let your sons rejoice in good things.","Now therefore arise, O LORD God, into your resting place, you, and the ark of your strength: let your priests, O LORD God, be clothed with salvation, and let your saints rejoice in goodness.","And now, O Lord God, arise into thy resting-place, thou, and the ark of thy strength: let thy priests, O Lord God, clothe themselves with salvation, and thy sons rejoice in prosperity.",0.848,0.744
2 Kings 22:12,2 Kings,22,12,0,none,different_from_both,"And the king commanded Hilkiah the priest and Ahikam son of Shaphan and Achbor son of Michaiah and Shaphan the scribe and Asaiah servant of the king, saying,","And the king commanded Hilkiah the priest, and Ahikam the son of Shaphan, and Achbor the son of Michaiah, and Shaphan the scribe, and Asahiah a servant of the king's, saying,","And the king commanded Chelcias the priest, and Achikam the son of Sapphan, and Achobor the son of Michaias, and Sapphan the scribe, and Asaias the king's servant, saying,",0.963,0.859
Deuteronomy 30:7,Deuteronomy,30,7,0,none,different_from_both,And the Lord your God will put these curses on your enemies and on those hating you who persecuted you.,"And the LORD your God will put all these curses upon yours enemies, and on them that hate you, which persecuted you.","And the Lord thy God will put these curses upon thine enemies, and upon those that hate thee, who have persecuted thee.",0.893,0.789
Exodus 18:25,Exodus,18,25,0,none,different_from_both,And Moses chose able men from all Israel and made them over the people as commanders of thousands and hundreds and fifties and tens.,"And Moses chose able men out of all Israel, and made them heads over the people, rulers of thousands, rulers of hundreds, rulers of fifties, and rulers of tens.","And Moses chose out able men out of all Israel, and he made them captains of thousands and captains of hundreds, and captains of fifties and captains of tens over the people.",0.786,0.682
Ezekiel 28:15,Ezekiel,28,15,0,none,different_from_both,You were blameless in your days from day you were created until injustices were found in you.,"You were perfect in your ways from the day that you were created, till iniquity was found in you.","Thou wast faultless in thy days, from the day that thou wast created, until iniquity was found in thee.",0.781,0.677
Numbers 33:34,Numbers,33,34,0,none,different_from_both,And they set out from Jotbathah and camped at Ebronah.,"And they removed from Jotbathah, and encamped at Ebronah.","And they departed from Etebatha, and encamped in Ebrona.",0.889,0.785
1 Chronicles 23:18,1 Chronicles,23,18,0,none,different_from_both,Sons of Izhar: Shelomith chief.,Of the sons of Izhar; Shelomith the chief.,The sons of Isaar; Salomoth the chief.,0.841,0.738
2 Chronicles 11:8,2 Chronicles,11,8,0,none,same_as_mt_differs_from_brenton,"and Gath and Mareshah and Ziph,","And Gath, and Mareshah, and Ziph,","and Geth, and Marisa, and Ziph,",1.000,0.897
2 Samuel 3:15,2 Samuel,3,15,0,none,different_from_both,"And Ishbosheth sent and took her from her husband, from Paltiel son of Laish.","And Ishbosheth sent, and took her from her husband, even from Phaltiel the son of Laish.","And Jebosthe sent, and took her from her husband, even from Phaltiel the son of Selle.",0.938,0.835
Exodus 23:33,Exodus,23,33,0,none,different_from_both,"They shall not dwell in your land, lest they make you sin against me. For if you serve their gods, these will be a stumbling block to you.","They shall not dwell in your land, lest they make you sin against me: for if you serve their gods, it will surely be a snare unto you.","And they shall not dwell in thy land, lest they cause thee to sin against me; for if thou shouldest serve their gods, these will be an offence to thee.",0.886,0.783
Genesis 25:14,Genesis,25,14,0,none,same_as_mt_differs_from_brenton,and Mishma and Dumah and Massa,"And Mishma, and Dumah, and Massa,","and Masma, and Duma, and Masse,",1.000,0.897
Job 13:26,Job,13,26,0,none,different_from_both,For you wrote bitter things against me and laid on me sins of youth.,"For you write bitter things against me, and make me to possess the iniquities of my youth.","For thou hast written evil things against me, and thou hast compassed me with the sins of my youth.",0.774,0.671
Job 9:34,Job,9,34,0,none,different_from_both,"Let him take his rod away from me, and let his fear not whirl me about.","Let him take his rod away from me, and let not his fear terrify me:","Let him remove his rod from me, and let not his fear terrify me:",0.836,0.733
Nehemiah 11:10,Nehemiah,11,10,0,none,different_from_both,"From the priests: Jedaiah son of Joiarib, Jachin,","Of the priests: Jedaiah the son of Joiarib, Jachin.","Of the priests: both Jadia son of Joarib, and Jachin.",0.915,0.812
Numbers 25:12,Numbers,25,12,0,none,different_from_both,"Therefore say, Behold, I give him a covenant of peace.","Wherefore say, Behold, I give unto him my covenant of peace:","Thus do thou say to him, Behold, I give him a covenant of peace:",0.907,0.804
Numbers 33:13,Numbers,33,13,0,none,different_from_both,And they set out from Dophkah and camped in Alush.,"And they departed from Dophkah, and encamped in Alush.","And they departed from Raphaca, and encamped in Ælus.",0.871,0.768
2 Kings 15:37,2 Kings,15,37,0,none,different_from_both,In those days the Lord began to send into Judah Rezin king of Syria and Pekah son of Remaliah.,"In those days the LORD began to send against Judah Rezin the king of Syria, and Pekah the son of Remaliah.","In those days the Lord began to send forth against Juda Raasson king of Syria, and Phakee son of Romelias.",0.934,0.832
